indexKey,radii
1,173.0
2,386.0
3,30000.0
4,796.0
5,850.0
6,862.0
7,762.0
8,223.0
9,531.0
10,984.0
11,530.0
12,497.0
13,794.0
14,580.0
15,420.0
16,261.0
17,845.0
18,644.0
19,583.0
20,885.0
21,774.0
22,40000.0
23,471.0
24,700.0
25,186.0
26,532.0
27,201.0
28,211.0
29,351.0
30,124.0
31,368.0
32,467.0
33,233.0
34,564.0
35,221.0
36,215.0
37,311.0
38,810.0
39,319.0
40,863.0
41,561.0
42,118.0
43,605.0
44,773.0
45,149.0
46,129.0
47,997.0
48,897.0
49,495.0
50,584.0
51,435.0
52,323.0
53,210.0
54,881.0
55,976.0
56,340.0
57,471.0
58,335.0
59,164.0
60,615.0
61,684.0
62,577.0
63,732.0
64,929.0
65,551.0
66,767.0
67,284.0
68,820.0
69,448.0
70,582.0
71,566.0
72,986.0
73,429.0
74,891.0
75,367.0
76,863.0
77,416.0
78,290.0
79,104.0
80,450.0
81,937.0
82,538.0
83,680.0
84,784.0
85,881.0
86,152.0
87,720.0
88,345.0
89,366.0
90,696.0
91,479.0
92,211.0
93,418.0
94,459.0
95,938.0
96,517.0
97,569.0
98,296.0
99,575.0
100,986.0
101,405.0
102,768.0
103,726.0
104,328.0
105,262.0
106,224.0
107,238.0
108,417.0
109,371.0
110,505.0
111,411.0
112,441.0
113,872.0
114,238.0
115,273.0
116,551.0
117,938.0
118,239.0
119,979.0
120,481.0
121,268.0
122,698.0
123,788.0
124,844.0
125,855.0
126,746.0
127,164.0
128,284.0
129,827.0
130,485.0
131,745.0
132,371.0
133,418.0
134,878.0
135,337.0
136,751.0
137,846.0
138,979.0
139,455.0
140,137.0
141,124.0
142,106.0
143,960.0
144,783.0
145,934.0
146,420.0
147,101.0
148,946.0
149,727.0
150,696.0
151,299.0
152,209.0
153,947.0
154,409.0
155,905.0
156,500.0
157,586.0
158,429.0
159,286.0
160,943.0
161,161.0
162,574.0
163,488.0
164,618.0
165,625.0
166,274.0
167,293.0
168,543.0
169,840.0
170,669.0
171,726.0
172,623.0
173,839.0
174,424.0
175,404.0
176,650.0
177,138.0
178,439.0
179,781.0
180,691.0
181,111.0
182,181.0
183,473.0
184,825.0
185,805.0
186,551.0
187,242.0
188,357.0
189,958.0
190,922.0
191,736.0
192,812.0
193,853.0
194,831.0
195,596.0
196,387.0
197,949.0
198,782.0
199,964.0
200,574.0
201,781.0
202,283.0
203,773.0
204,217.0
205,468.0
206,687.0
207,130.0
208,291.0
209,967.0
210,263.0
211,112.0
212,573.0
213,631.0
214,434.0
215,178.0
216,388.0
217,407.0
218,773.0
219,742.0
220,390.0
221,528.0
222,471.0
223,669.0
224,935.0
225,765.0
226,924.0
227,423.0
228,144.0
229,251.0
230,723.0
231,964.0
232,752.0
233,769.0
234,588.0
235,534.0
236,807.0
237,535.0
238,152.0
239,856.0
240,123.0
241,648.0
242,974.0
243,125.0
244,304.0
245,144.0
246,611.0
247,723.0
248,782.0
249,740.0
250,355.0
251,357.0
252,619.0
253,125.0
254,468.0
255,965.0
256,624.0
257,124.0
258,448.0
259,870.0
260,205.0
261,114.0
262,758.0
263,646.0
264,859.0
265,457.0
266,509.0
267,173.0
268,138.0
269,973.0
270,749.0
271,729.0
272,397.0
273,600.0
274,809.0
275,346.0
276,102.0
277,272.0
278,954.0
279,258.0
280,125.0
281,652.0
282,984.0
283,167.0
284,481.0
285,905.0
286,282.0
287,398.0
288,143.0
289,323.0
290,184.0
291,754.0
292,419.0
293,634.0
294,914.0
295,768.0
296,996.0
297,779.0
298,805.0
299,688.0
300,929.0
